iter	Passed	Remaining
314	2848	6195
315	2857	6184
316	2865	6173
317	2873	6161
318	2881	6150
319	2889	6140
320	2898	6130
321	2905	6117
322	2914	6107
323	2920	6093
324	2929	6083
325	2937	6072
326	2945	6061
327	2952	6049
328	2960	6037
329	2967	6025
330	2975	6014
331	2984	6005
332	2993	5996
333	3001	5985
334	3009	5975
335	3018	5965
336	3027	5956
337	3035	5944
338	3044	5935
339	3052	5925
340	3060	5915
341	3068	5902
342	3076	5892
343	3084	5882
344	3093	5872
345	3100	5859
346	3108	5849
347	3116	5838
348	3124	5827
349	3131	5816
350	3140	5806
351	3148	5795
352	3157	5788
353	3165	5776
354	3173	5765
355	3181	5754
356	3189	5745
357	3196	5732
358	3205	5724
359	3214	5715
360	3224	5707
361	3233	5698
362	3241	5687
363	3249	5677
364	3257	5666
365	3266	5658
366	3273	5646
367	3281	5636
368	3289	5625
369	3297	5614
370	3306	5605
371	3314	5595
372	3322	5584
373	3330	5574
374	3338	5564
375	3346	5553
376	3354	5544
377	3363	5534
378	3371	5523
379	3379	5513
380	3388	5504
381	3395	5494
382	3404	5484
383	3412	5474
384	3420	5463
385	3428	5453
386	3436	5442
387	3444	5433
388	3452	5423
389	3460	5412
390	3467	5401
391	3475	5390
392	3483	5380
393	3492	5371
394	3500	5361
395	3508	5350
396	3515	5340
397	3523	5329
398	3530	5318
399	3538	5308
400	3547	5299
401	3556	5290
402	3564	5279
403	3573	5271
404	3582	5262
405	3591	5254
406	3599	5244
407	3608	5235
408	3618	5228
409	3627	5220
410	3637	5213
411	3647	5205
412	3656	5196
413	3664	5186
414	3672	5177
415	3681	5167
416	3690	5159
417	3698	5149
418	3707	5141
419	3716	5131
420	3725	5123
421	3733	5113
422	3742	5105
423	3751	5096
424	3760	5087
425	3769	5078
426	3777	5068
427	3785	5059
428	3793	5049
429	3802	5041
430	3812	5033
431	3821	5024
432	3829	5014
433	3838	5005
434	3846	4995
435	3855	4987
436	3865	4979
437	3874	4971
438	3883	4962
439	3892	4954
440	3902	4947
441	3911	4938
442	3921	4930
443	3929	4920
444	3937	4911
445	3945	4901
446	3955	4893
447	3964	4884
448	3972	4875
449	3982	4866
450	3990	4857
451	4000	4850
452	4009	4841
453	4018	4832
454	4027	4823
455	4035	4814
456	4044	4805
457	4051	4794
458	4061	4787
459	4070	4778
460	4079	4770
461	4088	4761
462	4097	4752
463	4105	4742
464	4113	4733
465	4124	4726
466	4133	4717
467	4143	4709
468	4151	4699
469	4160	4691
470	4168	4682
471	4177	4673
472	4186	4664
473	4194	4654
474	4204	4646
475	4213	4638
476	4223	4630
477	4232	4621
478	4241	4613
479	4250	4605
480	4261	4597
481	4270	4589
482	4282	4584
483	4293	4577
484	4303	4569
485	4313	4561
486	4323	4554
487	4332	4545
488	4344	4539
489	4353	4531
490	4362	4522
491	4372	4515
492	4382	4506
493	4393	4499
494	4403	4492
495	4413	4484
496	4423	4476
497	4432	4468
498	4441	4459
499	4450	4450
500	4459	4441
501	4470	4434
502	4480	4427
503	4490	4419
504	4500	4411
505	4509	4402
506	4521	4396
507	4531	4388
508	4541	4380
509	4551	4372
510	4561	4365
511	4572	4357
512	4587	4355
513	4617	4365
514	4631	4361
515	4644	4356
516	4653	4347
517	4666	4342
518	4681	4338
519	4696	4335
520	4707	4327
521	4718	4320
522	4731	4315
523	4744	4309
524	4754	4301
525	4764	4293
526	4775	4286
527	4785	4277
528	4794	4269
529	4803	4260
530	4812	4250
531	4820	4240
532	4830	4232
533	4839	4223
534	4848	4214
535	4857	4204
536	4866	4196
537	4876	4187
538	4885	4178
539	4894	4169
540	4903	4160
541	4911	4150
542	4920	4141
543	4928	4131
544	4937	4121
545	4945	4112
546	4954	4103
547	4962	4092
548	4970	4083
549	4978	4073
550	4987	4063
551	4997	4055
552	5006	4046
553	5014	4037
554	5023	4027
555	5032	4018
556	5040	4009
557	5048	3999
558	5056	3989
559	5063	3978
560	5072	3969
561	5080	3959
562	5088	3949
563	5096	3939
564	5104	3930
565	5113	3920
566	5123	3912
567	5131	3903
568	5140	3893
569	5149	3884
570	5158	3875
571	5167	3866
572	5176	3857
573	5185	3848
574	5195	3840
575	5204	3831
576	5215	3823
577	5225	3815
578	5235	3806
579	5244	3798
580	5254	3789
581	5263	3780
582	5273	3771
583	5283	3763
584	5293	3755
585	5303	3746
586	5313	3738
587	5322	3729
588	5331	3720
589	5340	3711
590	5349	3702
591	5359	3693
592	5368	3684
593	5378	3676
594	5387	3667
595	5396	3658
596	5405	3649
597	5415	3640
598	5424	3631
599	5436	3624
600	5447	3616
601	5458	3608
602	5468	3600
603	5478	3591
604	5489	3583
605	5500	3576
606	5511	3568
607	5522	3560
608	5531	3551
609	5540	3542
610	5549	3533
611	5558	3524
612	5567	3515
613	5576	3505
614	5584	3496
615	5595	3487
616	5603	3478
617	5612	3469
618	5621	3460
619	5629	3450
620	5639	3441
621	5647	3431
622	5655	3422
623	5663	3412
624	5672	3403
625	5680	3393
626	5689	3384
627	5697	3375
628	5706	3365
629	5714	3356
630	5722	3346
631	5731	3337
632	5739	3327
633	5747	3318
634	5755	3308
635	5763	3298
636	5772	3289
637	5781	3280
638	5790	3271
639	5798	3261
640	5806	3252
641	5815	3242
642	5823	3233
643	5831	3223
644	5839	3213
645	5847	3204
646	5855	3194
647	5863	3184
648	5870	3174
649	5878	3165
650	5886	3155
651	5894	3146
652	5902	3136
653	5910	3126
654	5918	3117
655	5926	3107
656	5933	3097
657	5941	3088
658	5948	3078
659	5956	3068
660	5965	3059
661	5973	3049
662	5981	3040
663	5989	3030
664	5996	3020
665	6004	3011
666	6012	3001
667	6019	2991
668	6028	2982
669	6036	2973
670	6044	2963
671	6053	2954
672	6061	2944
673	6069	2935
674	6077	2926
675	6085	2916
676	6092	2906
677	6100	2897
678	6109	2888
679	6116	2878
680	6124	2868
681	6132	2859
682	6140	2850
683	6149	2840
684	6158	2832
685	6167	2823
686	6176	2814
687	6184	2804
688	6192	2795
689	6200	2785
690	6208	2776
691	6216	2766
692	6223	2757
693	6231	2747
694	6238	2737
695	6247	2728
696	6255	2719
697	6263	2710
698	6271	2700
699	6280	2691
700	6288	2682
701	6296	2672
702	6304	2663
703	6312	2654
704	6320	2644
705	6327	2635
706	6335	2625
707	6343	2616
708	6352	2607
709	6359	2597
710	6367	2588
711	6375	2578
712	6383	2569
713	6390	2559
714	6398	2550
715	6405	2540
716	6412	2531
717	6420	2521
718	6428	2512
719	6436	2502
720	6444	2493
721	6452	2484
722	6460	2475
723	6468	2465
724	6476	2456
725	6483	2446
726	6491	2437
727	6498	2428
728	6506	2418
729	6514	2409
730	6523	2400
731	6531	2391
732	6539	2381
733	6547	2372
734	6554	2363
735	6561	2353
736	6569	2344
737	6577	2335
738	6586	2326
739	6596	2317
740	6605	2308
741	6614	2299
742	6622	2290
743	6630	2281
744	6639	2272
745	6647	2263
746	6656	2254
747	6665	2245
748	6674	2236
749	6681	2227
750	6691	2218
751	6698	2209
752	6706	2200
753	6714	2190
754	6723	2181
755	6731	2172
756	6739	2163
757	6747	2154
758	6757	2145
759	6766	2136
760	6777	2128
761	6789	2120
762	6798	2111
763	6808	2103
764	6818	2094
765	6827	2085
766	6837	2076
767	6845	2068
768	6856	2059
769	6866	2050
770	6875	2042
771	6885	2033
772	6894	2024
773	6905	2016
774	6915	2007
775	6924	1998
776	6933	1990
777	6941	1980
778	6949	1971
779	6956	1962
780	6965	1953
781	6973	1943
782	6981	1934
783	6988	1925
784	6997	1916
785	7006	1907
786	7013	1898
787	7022	1889
788	7030	1880
789	7040	1871
790	7049	1862
791	7058	1853
792	7066	1844
793	7074	1835
794	7083	1826
795	7091	1817
796	7101	1808
797	7110	1799
798	7119	1790
799	7129	1782
800	7138	1773
801	7146	1764
802	7154	1755
803	7163	1746
804	7172	1737
805	7180	1728
806	7189	1719
807	7197	1710
808	7206	1701
809	7214	1692
810	7223	1683
811	7232	1674
812	7240	1665
813	7249	1656
814	7258	1647
815	7267	1638
816	7276	1629
817	7286	1621
818	7294	1612
819	7302	1602
820	7311	1594
821	7319	1585
822	7328	1576
823	7336	1567
824	7344	1557
825	7352	1548
826	7360	1539
827	7370	1531
828	7378	1521
829	7387	1513
830	7395	1503
831	7404	1495
832	7412	1486
833	7421	1477
834	7429	1468
835	7438	1459
836	7447	1450
837	7456	1441
838	7465	1432
839	7473	1423
840	7484	1414
841	7493	1406
842	7501	1397
843	7509	1388
844	7517	1378
845	7526	1370
846	7536	1361
847	7544	1352
848	7553	1343
849	7562	1334
850	7570	1325
851	7578	1316
852	7587	1307
853	7596	1298
854	7604	1289
855	7613	1280
856	7623	1272
857	7632	1263
858	7644	1254
859	7653	1245
860	7663	1237
861	7672	1228
862	7682	1219
863	7692	1210
864	7702	1202
865	7711	1193
866	7720	1184
867	7730	1175
868	7740	1166
869	7750	1158
870	7760	1149
871	7768	1140
872	7778	1131
873	7787	1122
874	7797	1113
875	7806	1105
876	7815	1096
877	7824	1087
878	7833	1078
879	7844	1069
880	7854	1060
881	7863	1052
882	7873	1043
883	7882	1034
884	7892	1025
885	7902	1016
886	7912	1007
887	7922	999
888	7931	990
889	7941	981
890	7951	972
891	7962	964
892	7972	955
893	7980	946
894	7990	937
895	7999	928
896	8009	919
897	8021	911
898	8032	902
899	8042	893
900	8055	885
901	8064	876
902	8074	867
903	8084	858
904	8094	849
905	8104	840
906	8113	831
907	8122	822
908	8131	814
909	8140	805
910	8151	796
911	8160	787
912	8170	778
913	8180	769
914	8189	760
915	8199	751
916	8209	743
917	8219	734
918	8228	725
919	8237	716
920	8246	707
921	8256	698
922	8265	689
923	8274	680
924	8284	671
925	8294	662
926	8303	653
927	8313	645
928	8323	636
929	8333	627
930	8343	618
931	8354	609
932	8366	600
933	8376	591
934	8385	582
935	8395	574
936	8404	565
937	8413	556
938	8422	547
939	8431	538
940	8442	529
941	8452	520
942	8462	511
943	8471	502
944	8479	493
945	8488	484
946	8497	475
947	8507	466
948	8516	457
949	8526	448
950	8535	439
951	8545	430
952	8555	421
953	8564	412
954	8573	403
955	8582	394
956	8592	386
957	8601	377
958	8609	368
959	8619	359
960	8629	350
961	8640	341
962	8650	332
963	8659	323
964	8669	314
965	8678	305
966	8688	296
967	8698	287
968	8708	278
969	8718	269
970	8729	260
971	8739	251
972	8749	242
973	8758	233
974	8769	224
975	8777	215
976	8786	206
977	8795	197
978	8804	188
979	8813	179
980	8822	170
981	8832	161
982	8841	152
983	8850	143
984	8858	134
985	8867	125
986	8877	116
987	8886	107
988	8897	98
989	8907	89
990	8916	80
991	8925	71
992	8934	62
993	8943	53
994	8952	44
995	8963	35
996	8972	26
997	8982	18
998	8991	9
999	9001	0
