iter	RMSE
0	24.25314052
1	22.40157216
2	20.69443732
3	19.12329805
4	17.67061599
5	16.31571324
6	15.0932631
7	13.95664865
8	12.89353124
9	11.92779378
10	11.01579217
11	10.17930935
12	9.413332166
13	8.692984548
14	8.038801176
15	7.433696532
16	6.878176884
17	6.364560605
18	5.888638686
19	5.452230451
20	5.050608123
21	4.675095192
22	4.324980787
23	4.001951928
24	3.7068612
25	3.436863375
26	3.190841556
27	2.957145271
28	2.743373217
29	2.548793821
30	2.365031113
31	2.199642765
32	2.046455444
33	1.905680925
34	1.776513461
35	1.656450322
36	1.54931787
37	1.448448797
38	1.354951439
39	1.269809842
40	1.193030938
41	1.124180571
42	1.059764996
43	1.000633504
44	0.9461163341
45	0.8969270424
46	0.8541676333
47	0.8146519453
48	0.777713544
49	0.7453549633
50	0.7160725003
51	0.6882890679
52	0.6649735204
53	0.643316509
54	0.6246087284
55	0.6057994192
56	0.5901717739
57	0.5761968742
58	0.5629777822
59	0.550480147
60	0.5387828077
61	0.5289726987
62	0.5208061024
63	0.5129492952
64	0.5062335685
65	0.4989375896
66	0.4927245921
67	0.4859057353
68	0.4811407668
69	0.4762285765
70	0.4716624129
71	0.4669802852
72	0.462464621
73	0.4589360124
74	0.4545527086
75	0.4503300085
76	0.4465892144
77	0.4434771512
78	0.4401555768
79	0.4374846019
80	0.4334178725
81	0.4304369078
82	0.4287003993
83	0.4262507822
84	0.4222179706
85	0.4191786143
86	0.4172986663
87	0.4151777194
88	0.4138229019
89	0.4123063339
90	0.4104484048
91	0.4086128094
92	0.4066566861
93	0.4042582007
94	0.4026939858
95	0.4004808695
96	0.3994486824
97	0.3984840533
98	0.3957081035
99	0.3943729759
100	0.3922130788
101	0.3913185679
102	0.3905042727
103	0.3886510859
104	0.3869424572
105	0.3856592985
106	0.3845808844
107	0.3833379566
108	0.3816373108
109	0.3792472199
110	0.3777937808
111	0.3771856831
112	0.3751611027
113	0.3735780612
114	0.373017306
115	0.3719689211
116	0.3701718708
117	0.3692336725
118	0.368520352
119	0.3674940623
120	0.3663001648
121	0.3645660239
122	0.3639380153
123	0.3625855187
124	0.3613259595
125	0.3607241902
126	0.3591403741
127	0.3583220487
128	0.3569679734
129	0.355907247
130	0.3545269701
131	0.3536459407
132	0.3526516611
133	0.35118666
134	0.3502107587
135	0.3490157602
136	0.3482686128
137	0.3474748986
138	0.3461629699
139	0.3455822094
140	0.3447129023
